asset_uuid,label,manifest_uri,iiif_image_uri
d1KjSQQYEIYNVLXbLR2cgUHK,Stinkend nieskruid [Helleborus foetidus],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/d1KjSQQYEIYNVLXbLR2cgUHK.json,https://dams1.antwerpen.be/iiif/d1KjSQQYEIYNVLXbLR2cgUHK/full/full/0/default.jpg
H1EhBRpVsTIQSUHSXaTr1HjD,Emblematische voorstelling: Scyphus Nestoris [De wijsheid van de ouderdom].,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/H1EhBRpVsTIQSUHSXaTr1HjD.json,https://dams1.antwerpen.be/iiif/H1EhBRpVsTIQSUHSXaTr1HjD/full/full/0/default.jpg
Z1jKPVaaSsTXiaTYQxExC3Fs,"Emblematische voorstelling: Malè parta malè dilabuntur [Verkeerd gewonnen, verkeerd besteed].",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/Z1jKPVaaSsTXiaTYQxExC3Fs.json,https://dams1.antwerpen.be/iiif/Z1jKPVaaSsTXiaTYQxExC3Fs/full/full/0/default.jpg
sheXQVXcLpYl8PpNeHIdStNK,Gewone boon [Phaseolus vulgaris],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/sheXQVXcLpYl8PpNeHIdStNK.json,https://dams1.antwerpen.be/iiif/sheXQVXcLpYl8PpNeHIdStNK/full/full/0/default.jpg
W2Mf6QjrYbPF9TMVrR1oLd4t,"Portret van keizer Philippus II, die regeerde 247-249 (sleutelblok)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/W2Mf6QjrYbPF9TMVrR1oLd4t.json,https://dams1.antwerpen.be/iiif/W2Mf6QjrYbPF9TMVrR1oLd4t/full/full/0/default.jpg
q2bwIWHbIlH6gunHDJ3emPzG,MPM_HB_09177_afdruk.tif,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/q2bwIWHbIlH6gunHDJ3emPzG.json,https://dams1.antwerpen.be/iiif/q2bwIWHbIlH6gunHDJ3emPzG/full/full/0/default.jpg
K1FiRXawXLQMoOKjeUBbRPTV,Gewone smeerwortel [Symphytum officinale],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/K1FiRXawXLQMoOKjeUBbRPTV.json,https://dams1.antwerpen.be/iiif/K1FiRXawXLQMoOKjeUBbRPTV/full/full/0/default.jpg
VKdGeHyWLjLMIVP9u28N8xUL,Tuinmelde [Atriplex hortensis],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/VKdGeHyWLjLMIVP9u28N8xUL.json,https://dams1.antwerpen.be/iiif/VKdGeHyWLjLMIVP9u28N8xUL/full/full/0/default.jpg
tRPZKTReZcYORGgWfNpbLe13,MPM_HB_09211_afdruk.tif,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/tRPZKTReZcYORGgWfNpbLe13.json,https://dams1.antwerpen.be/iiif/tRPZKTReZcYORGgWfNpbLe13/full/full/0/default.jpg
P1IZYTNInubWkOVw4KsoHbRE,"Laos, grote galangawortel of Thaise gember [Alpinia galanga]",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/P1IZYTNInubWkOVw4KsoHbRE.json,https://dams1.antwerpen.be/iiif/P1IZYTNInubWkOVw4KsoHbRE/full/full/0/default.jpg
