asset_uuid,title,identifier,publisher,manifest_uri
y1RRUpEeDeVXRE9hKfOJiHna,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/y1RRUpEeDeVXRE9hKfOJiHna.json
nJIXqUUPRWhDZPXWluyUzPGN,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/nJIXqUUPRWhDZPXWluyUzPGN.json
n2UIoCDZPdaQEaicGRD1MzEf,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/n2UIoCDZPdaQEaicGRD1MzEf.json
hkCWOcjcjbUgffNbKOc1xui2,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/hkCWOcjcjbUgffNbKOc1xui2.json
j2dNeQeVTWXOjRXTdmy0x6S4,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/j2dNeQeVTWXOjRXTdmy0x6S4.json
h1TVRXURFKwWfX6TK8AXiO3u,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/h1TVRXURFKwWfX6TK8AXiO3u.json
C1O2ru1YKxYSuOgTtWK5lGnW,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/C1O2ru1YKxYSuOgTtWK5lGnW.json
C1mfXLBLbQicIoYCmQ5ZDds9,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/C1mfXLBLbQicIoYCmQ5ZDds9.json
ibooDP1bHVhXVUVCpclan5QE,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/ibooDP1bHVhXVUVCpclan5QE.json
LSYbUQUkbDGbNWcCPydsbM1R,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/LSYbUQUkbDGbNWcCPydsbM1R.json
